ADDRESS,POINTS
13416 24 ST SW,-3230.550 -12751.296|-3230.564 -12745.814|-3228.544 -12743.579|-3226.859 -12741.077|-3225.545 -12738.364|-3224.622 -12735.495|-3224.112 -12732.526|-3224.021 -12729.513|-3224.364 -12726.511|-3225.119 -12723.597|-3230.627 -12707.129|-3230.655 -12690.372|-3242.245 -12690.395|-3244.293 -12690.406|-3245.202 -12690.406|-3245.223 -12751.329
27 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
28 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
29 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
30 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
31 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
32 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
33 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
34 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
35 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
36 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
37 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
38 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
39 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
40 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
41 275 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
273 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
271 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
269 WOODRIDGE DR SW,-3039.486 -12737.886|-3043.730 -12736.018|-3047.896 -12733.972|-3051.971 -12731.770|-3055.963 -12729.402|-3059.857 -12726.889|-3063.646 -12724.220|-3067.329 -12721.396|-3070.895 -12718.427|-3074.341 -12715.324|-3077.668 -12712.089|-3080.856 -12708.719|-3083.918 -12705.228|-3086.833 -12701.625|-3089.608 -12697.900|-3092.230 -12694.075|-3094.697 -12690.139|-3117.752 -12690.183|-3134.110 -12690.205|-3147.748 -12690.228|-3161.386 -12690.250|-3175.325 -12690.283|-3189.831 -12690.306|-3208.698 -12690.339|-3230.655 -12690.372|-3230.627 -12707.129|-3225.119 -12723.597|-3224.364 -12726.511|-3224.021 -12729.513|-3224.112 -12732.526|-3224.622 -12735.495|-3225.545 -12738.364|-3226.859 -12741.077|-3228.544 -12743.579|-3230.564 -12745.814|-3230.550 -12751.296|-3230.543 -12758.579|-3190.243 -12775.726|-3156.947 -12819.125|-3122.575 -12846.479|-3109.622 -12863.358|-3091.607 -12907.970
