ADDRESS,POINTS
161V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
162V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
7306 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
7305 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
7307 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
185V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
186V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
187V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
188V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
189V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
190V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
191V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
192V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
193V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
194V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
195V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
196V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
197V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
198V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
226V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
225V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
224V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
223V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
222V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
221V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
220V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
219V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
184V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
238V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
237V 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
5205 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
5206 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
5207 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
5208 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
5209 14 HEMLOCK CR SW,-4072.106 -33.943|-4120.473 -20.177|-4124.863 -18.943|-4124.842 -47.576|-4124.821 -58.284|-4124.814 -66.323|-4124.800 -70.015|-4129.302 -75.608|-4146.596 -97.058|-4144.702 -100.015|-4142.968 -103.062|-4141.388 -106.187|-4139.962 -109.389|-4138.704 -112.669|-4137.613 -115.994|-4136.691 -119.386|-4135.943 -122.810|-4135.370 -126.246|-4134.971 -129.693|-4134.740 -133.163|-4134.684 -136.632|-4134.810 -140.112|-4135.104 -143.570|-4135.565 -147.006|-4136.201 -150.420|-4137.012 -153.800|-4147.023 -191.618|-4128.757 -191.518|-4115.593 -191.451|-4115.251 -191.451|-4072.294 -191.217|-4072.190 -102.795|-4072.190 -102.640
