ADDRESS,POINTS
30 SHANNON PL SW,-803.799 -14937.499|-804.023 -14934.897|-804.687 -14932.384|-805.784 -14930.016|-807.266 -14927.870|-808.706 -14926.369|-810.349 -14925.068|-812.153 -14924.023|-814.082 -14923.233|-816.102 -14922.722|-837.074 -14918.985|-977.226 -14918.852|-977.317 -15010.299|-977.317 -15013.290|-947.495 -15013.323|-947.188 -15010.777|-946.461 -15008.331|-945.321 -15006.029|-943.818 -15003.961|-941.980 -15002.182|-939.869 -15000.747|-937.548 -14999.691|-935.080 -14999.057|-932.536 -14998.846|-929.998 -14999.068|-927.537 -14999.735|-925.224 -15000.803|-923.119 -15002.259|-920.589 -15004.016|-917.800 -15005.306|-914.829 -15006.096|-911.774 -15006.362|-808.336 -15006.463|-803.862 -15001.970
413 260 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
415 260 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
417 260 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
419 260 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
426 260 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
424 260 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
422 260 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
303 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
305 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
307 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
309 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
311 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
312 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
310 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
308 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
306 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
304 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
302 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
301 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
203 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
205 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
207 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
209 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
211 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
212 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
210 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
208 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
206 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
204 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
110 270 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
109 290 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
108 290 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
107 290 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
106 290 SHAWVILLE WY SE,240.131 -16485.555|240.047 -16421.373|222.060 -16346.261|203.627 -16269.292|145.599 -16269.359|144.620 -16278.566|144.089 -16287.817|144.019 -16297.069|144.403 -16306.331|144.900 -16312.347|145.592 -16318.363|146.941 -16327.091|148.709 -16335.753|154.931 -16362.118|158.825 -16377.729|162.865 -16393.308|169.108 -16416.281|170.729 -16421.518|172.631 -16426.655|174.819 -16431.681|177.279 -16436.574|179.691 -16440.810|182.299 -16444.913|184.906 -16448.605|187.681 -16452.174|190.610 -16455.622|193.700 -16458.924|196.930 -16462.082|200.306 -16465.084|203.815 -16467.931|207.450 -16470.611|211.211 -16473.124|215.077 -16475.459|219.041 -16477.616|223.109 -16479.595|227.254 -16481.374|231.484 -16482.964|235.776 -16484.354
