ADDRESS,POINTS
95V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
96V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
97V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
98V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
99V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
100V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
101V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
102V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
103V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
104V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
105V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
106V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
107V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
108V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
109V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
110V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
111V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
112V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
113V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
114V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
115V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
116V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
117V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
118V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
119V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
120V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
121V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
122V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
123V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
124V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
125V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
126V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
127V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
128V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
129V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
130V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
131V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
132V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
133V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
134V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
135V 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
