ADDRESS,POINTS
344 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
346 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
348 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
350 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
352 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
354 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
356 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
358 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
360 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
362 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
364 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
366 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
368 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
370 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
372 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
374 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
376 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
378 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
380 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
382 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
384 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
386 POINT MCKAY GD NW,-5100.468 1272.586|-5103.327 1271.808|-5106.235 1271.196|-5109.171 1270.751|-5112.128 1270.484|-5115.092 1270.384|-5118.063 1270.451|-5121.020 1270.684|-5123.963 1271.096|-5126.878 1271.663|-5129.751 1272.408|-5132.575 1273.309|-5135.350 1274.376|-5138.056 1275.599|-5140.684 1276.978|-5143.236 1278.501|-5145.689 1280.169|-5154.162 1286.285|-5157.804 1289.076|-5161.292 1292.056|-5164.605 1295.225|-5167.737 1298.572|-5170.687 1302.075|-5173.441 1305.744|-5175.993 1309.558|-5178.328 1313.506|-5180.446 1317.564|-5182.333 1321.745|-5183.997 1326.015|-5185.423 1330.374|-5186.604 1334.799|-5187.541 1339.292|-5188.240 1343.817|-5188.681 1348.388|-5189.499 1360.096|-5190.163 1365.923|-5226.926 1345.296|-5306.295 1288.353|-5284.150 1251.592|-5278.837 1243.008|-5273.293 1234.568|-5267.540 1226.284|-5261.563 1218.145|-5255.384 1210.161|-5248.994 1202.344|-5242.409 1194.694|-5235.622 1187.222|-5228.645 1179.927|-5221.480 1172.822|-5214.133 1165.894|-5206.604 1159.167|-5198.908 1152.640|-5191.036 1146.313|-5183.011 1140.186|-5174.826 1134.282|-5123.432 1151.050
