ADDRESS,POINTS
164 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
166 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
168 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
170 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
172 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
174 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
176 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
178 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
180 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
182 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
184 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
186 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
181 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
183 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
185 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
187 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
188 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
190 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
192 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
194 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
196 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
198 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
189 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
191 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
193 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
195 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
197 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
199 WOODMONT TC SW,-3942.195 -11661.452|-4064.458 -11661.463|-4160.095 -11802.636|-4145.177 -11802.614|-4130.763 -11802.581|-4114.880 -11802.559|-4098.292 -11802.525|-4089.869 -11802.514|-4082.207 -11806.417|-4067.415 -11813.956|-4064.025 -11815.691|-4046.311 -11799.612|-4029.632 -11787.714|-4015.001 -11779.197|-4001.229 -11771.179|-3984.487 -11800.246|-3979.076 -11797.099|-3975.281 -11794.742|-3971.611 -11792.195|-3988.108 -11763.551|-3981.754 -11754.345|-3975.511 -11745.315|-3969.066 -11730.693|-3962.215 -11715.159|-3955.358 -11699.637|-3948.913 -11685.014|-3945.557 -11677.409|-3944.732 -11673.484
