ADDRESS,POINTS
793 RANCHVIEW CI NW,-7725.776 7405.909|-7771.515 7418.052|-7773.556 7416.450|-7775.814 7415.149|-7778.226 7414.193|-7780.757 7413.581|-7778.401 7412.948|-7770.788 7410.935|-7763.175 7408.911|-7755.563 7406.888|-7747.027 7404.619|-7738.499 7402.351|-7730.579 7400.249|-7724.882 7398.737|-7725.238 7401.595
6363 RANCHVIEW DR NW,-7703.540 7456.703|-7705.231 7462.252|-7708.307 7464.331|-7737.045 7432.218|-7728.796 7430.027|-7705.427 7456.080
142 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
143 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
144 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
145 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
146 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
147 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
148 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
149 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
150 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
151 6915 RANCHVIEW DR NW,-7317.861 7636.983|-7290.340 7708.003|-7288.921 7711.884|-7287.648 7715.809|-7286.523 7719.779|-7285.551 7723.793|-7284.719 7727.841|-7284.048 7731.910|-7283.524 7736.002|-7283.153 7740.117|-7282.937 7744.242|-7282.874 7748.367|-7282.965 7752.493|-7283.202 7756.618|-7283.601 7760.721|-7284.153 7764.813|-7284.852 7768.883|-7285.705 7772.919|-7286.705 7776.922|-7287.851 7780.892|-7289.151 7784.806|-7290.591 7788.675|-7292.178 7792.489|-7293.898 7796.248|-7295.764 7799.928|-7297.764 7803.542|-7299.896 7807.078|-7302.161 7810.536|-7304.544 7813.905|-7307.061 7817.175|-7309.696 7820.366|-7312.444 7823.446|-7315.303 7826.426|-7318.281 7829.295|-7318.994 7829.962|-7324.432 7835.233|-7329.647 7840.726|-7334.624 7846.430|-7339.357 7852.334|-7343.838 7858.439|-7348.067 7864.710|-7352.024 7871.171|-7355.708 7877.776|-7359.112 7884.536|-7362.237 7891.431|-7365.061 7898.447|-7367.598 7905.575|-7369.828 7912.813|-7371.758 7920.130|-7373.379 7927.513|-7374.694 7934.963|-7375.218 7937.966|-7375.875 7940.935|-7376.665 7943.881|-7377.574 7946.783|-7378.608 7949.652|-7379.762 7952.465|-7381.041 7955.223|-7382.439 7957.936|-7383.949 7960.572|-7385.571 7963.151|-7387.305 7965.653|-7389.143 7968.088|-7391.086 7970.435|-7393.128 7972.692|-7395.267 7974.860|-7397.497 7976.939|-7399.810 7978.919|-7402.215 7980.787|-7404.690 7982.566|-7407.241 7984.223|-7409.870 7985.779|-7412.554 7987.214|-7415.301 7988.537|-7418.098 7989.738|-7420.950 7990.817|-7423.844 7991.773|-7426.780 7992.607|-7429.744 7993.307|-7432.736 7993.886|-7435.756 7994.330|-7438.782 7994.653|-7441.830 7994.842|-7448.702 7995.109|-7451.351 7994.975|-7453.945 7994.375|-7456.384 7993.352|-7458.614 7991.906|-7460.565 7990.105|-7462.166 7987.992|-7463.375 7985.635|-7464.151 7983.100|-7468.639 7962.340|-7471.729 7881.679|-7472.001 7876.241|-7472.421 7870.815|-7472.973 7865.400|-7473.672 7859.996|-7474.504 7854.614|-7475.468 7849.254|-7476.573 7843.917|-7477.817 7838.613|-7479.194 7833.342|-7480.704 7828.105|-7482.347 7822.912|-7484.123 7817.764|-7486.031 7812.660|-7488.065 7807.612|-7490.232 7802.608|-7492.525 7797.660|-7518.117 7744.286|-7521.724 7735.891|-7455.727 7707.459|-7430.736 7680.761
