ADDRESS,POINTS
29 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
30 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
31 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
32 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
33 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
34 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
35 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
36 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
37 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
38 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
39 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
40 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
41 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
42 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
43 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
44 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
45 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
46 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
47 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
48 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
49 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
50 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
51 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
52 2727 RUNDLESON RD NE,6294.527 3515.254|6294.555 3342.279|6294.702 3340.789|6295.135 3339.366|6295.834 3338.043|6296.785 3336.886|6297.938 3335.941|6299.253 3335.241|6300.686 3334.807|6302.175 3334.662|6337.113 3334.763|6434.735 3331.616|6439.279 3336.041|6439.188 3367.009|6441.229 3402.603|6441.131 3406.161|6440.845 3409.719|6440.376 3413.244|6439.719 3416.747|6438.887 3420.216|6437.874 3423.630|6436.685 3426.988|6435.329 3430.279|6433.798 3433.504|6432.100 3436.639|6430.247 3439.675|6428.234 3442.622|6426.074 3445.457|6423.767 3448.170|6421.320 3450.772|6418.748 3453.230|6415.595 3456.254|6412.596 3459.434|6409.772 3462.770|6407.130 3466.239|6404.662 3469.842|6402.390 3473.578|6400.321 3477.415|6398.448 3481.362|6396.784 3485.398|6395.337 3489.524|6394.099 3493.705|6393.086 3497.952|6392.296 3502.255|6391.723 3506.581|6391.387 3510.929|6391.268 3515.299
