ADDRESS,POINTS
110 GREENBRIAR PL NW,-10044.476 4425.140|-10063.595 4431.356|-10057.974 4389.280|-10054.144 4373.023|-10053.598 4372.278|-10053.221 4372.511|-10033.543 4358.490|-10029.299 4355.476|-9987.993 4326.043|-9922.436 4326.254|-9922.429 4356.155|-9922.436 4359.179|-9922.422 4387.701|-9962.114 4413.553|-9964.029 4412.942|-9966.001 4412.586|-9968.007 4412.486|-9970.013 4412.631|-9971.977 4413.042|-9973.872 4413.698|-9975.668 4414.588|-9977.339 4415.700|-9979.681 4417.212|-9982.219 4418.346|-9984.910 4419.069|-9987.678 4419.380|-10010.257 4420.070|-10016.640 4420.270|-10020.184 4420.436|-10023.714 4420.737|-10027.230 4421.159|-10030.732 4421.704|-10034.214 4422.382|-10037.667 4423.172|-10041.092 4424.095
109 GREENBRIAR VW NW,-10700.560 4462.357|-10697.274 4461.990|-10693.982 4461.768|-10693.227 4461.756|-10691.661 4461.834|-10690.109 4462.068|-10688.592 4462.457|-10687.117 4462.991|-10685.705 4463.658|-10684.363 4464.470|-10683.105 4465.404|-10681.944 4466.460|-10680.896 4467.628|-10679.966 4468.884|-10679.162 4470.230|-10678.498 4471.642|-10677.967 4473.121|-10677.589 4474.644|-10677.366 4476.190|-10677.289 4477.757|-10677.289 4526.883|-10677.289 4535.879|-10677.289 4539.793|-10677.289 4550.334|-10677.037 4553.059|-10676.904 4554.115|-10676.792 4555.783|-10676.792 4558.574|-10773.079 4558.685|-10773.086 4548.144|-10773.093 4539.682|-10773.093 4537.614|-10773.107 4535.668|-10773.142 4528.296|-10773.149 4526.672|-10773.191 4517.521|-10773.184 4506.290|-10773.177 4501.197|-10771.073 4499.129|-10767.179 4495.526|-10762.391 4491.490|-10757.407 4487.687|-10752.248 4484.140|-10746.914 4480.860|-10729.249 4472.142|-10722.216 4469.296|-10715.086 4466.705|-10707.865 4464.403
1311 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1312 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1401 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1402 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1403 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1404 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1405 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1406 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1407 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1408 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1409 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1410 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1411 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
1412 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
49V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
50V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
51V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
52V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
53V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
54V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
55V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
56V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
57V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
58V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
59V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
60V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
61V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
62V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
63V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
64V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
65V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
66V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
67V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
68V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
69V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
70V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
71V 80 GREENBRIAR PL NW,-10115.003 4433.391|-10126.152 4430.088|-10132.940 4428.342|-10135.876 4427.742|-10140.140 4427.030|-10145.041 4426.441|-10149.962 4426.107|-10166.564 4425.362|-10166.404 4364.150|-10166.334 4339.609|-10145.502 4339.631|-10094.353 4348.037|-10078.967 4350.562|-10074.765 4355.165|-10064.993 4365.873|-10063.693 4367.308|-10053.598 4372.278|-10054.144 4373.023|-10057.974 4389.280|-10063.595 4431.356|-10067.712 4432.724|-10072.410 4434.080|-10077.191 4435.159|-10081.903 4435.937|-10086.656 4436.426|-10091.424 4436.638|-10096.205 4436.549|-10100.966 4436.182|-10105.698 4435.537|-10110.382 4434.603
