ADDRESS,POINTS
587 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
585 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
583 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
581 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
579 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
577 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
575 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
573 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
571 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
569 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
567 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
565 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
563 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
561 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
559 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
557 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
555 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
553 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
551 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
549 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
547 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
545 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
543 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
541 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
539 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
537 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
535 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
533 ERIN WOODS TC SE,7591.296 -2548.016|7493.009 -2480.087|7489.871 -2478.019|7486.641 -2476.118|7483.321 -2474.361|7479.916 -2472.771|7476.449 -2471.336|7472.912 -2470.080|7469.319 -2468.990|7465.677 -2468.067|7461.993 -2467.322|7458.281 -2466.755|7454.548 -2466.377|7450.801 -2466.166|7447.047 -2466.132|7443.293 -2466.288|7439.553 -2466.610|7435.834 -2467.122|7432.136 -2467.800|7428.487 -2468.667|7424.873 -2469.702|7421.315 -2470.902|7417.827 -2472.270|7414.402 -2473.816|7411.053 -2475.517|7407.789 -2477.374|7404.615 -2479.387|7401.546 -2481.544|7398.582 -2483.846|7395.730 -2486.292|7392.997 -2488.872|7390.396 -2491.574|7387.922 -2494.409|7385.587 -2497.345|7382.315 -2502.015|7379.393 -2506.896|7376.828 -2511.978|7374.633 -2517.226|7373.710 -2520.162|7369.725 -2532.182|7373.612 -2533.494|7495.295 -2574.114|7534.058 -2587.057|7572.806 -2599.989
