ADDRESS,POINTS
4847 DALTON DR NW,-6057.380 6110.166|-6048.055 6104.384|-5962.380 6051.143|-5961.107 6053.934|-5917.151 6150.507|-6033.766 6150.240
104C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
105C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
106C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
107C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
108C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
201C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
202C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
203C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
204C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
205C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
206C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
207C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
208C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
301C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
302C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
303C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
304C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
305C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
306C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
307C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
308C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
401C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
402C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
403C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
404C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
405C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
406C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
407C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
408C 5601 DALTON DR NW,-5391.209 5980.946|-5390.041 5981.313|-5386.959 5982.358|-5383.911 5983.515|-5380.919 5984.805|-5377.976 5986.206|-5375.096 5987.718|-5372.272 5989.352|-5369.517 5991.098|-5366.833 5992.944|-5364.226 5994.890|-5361.695 5996.947|-5359.248 5999.104|-5356.892 6001.350|-5354.628 6003.685|-5352.454 6006.109|-5350.377 6008.622|-5348.399 6011.213|-5346.533 6013.882|-5344.771 6016.617|-5343.114 6019.431|-5341.576 6022.299|-5340.150 6025.224|-5338.843 6028.204|-5337.655 6031.240|-5336.585 6034.309|-5335.641 6037.422|-5334.817 6040.580|-5334.125 6043.760|-5333.558 6046.962|-5333.111 6050.187|-5332.803 6053.434|-5332.615 6056.681|-5332.559 6059.939|-5332.782 6135.062|-5337.354 6139.621|-5494.025 6139.254|-5498.568 6134.673|-5498.366 6085.458|-5495.304 6075.262|-5495.269 6060.028
