ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
2104 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2106 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2107 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2108 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2109 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2110 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2201 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2202 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2203 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2204 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2205 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2206 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2207 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2208 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2209 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2210 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2301 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2302 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2303 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2304 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2305 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2306 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2307 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2308 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2309 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2310 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2401 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2402 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2403 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2404 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2405 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
2406 205 HERITAGE DR SE,Residential,ACADIA,M-C2,"MULTIPOLYGON (((-114.0666387 50.9794395, -114.0678156 50.9794391, -114.0678289 50.9794183, -114.0678385 50.9793967, -114.0678443 50.9793746, -114.0678463 50.9793522, -114.0678465 50.9792426, -114.0678479 50.9792032, -114.067852 50.9791638, -114.0678589 50.9791246, -114.0678685 50.9790857, -114.0678807 50.979047, -114.0678956 50.9790087, -114.0679132 50.9789708, -114.0679333 50.9789335, -114.068371 50.9781766, -114.0683989 50.978122, -114.0684204 50.9780663, -114.0684211 50.9778785, -114.0683562 50.9778374, -114.0666366 50.9778367, -114.0666387 50.9794395)))"
